entry,new,breached,nearly_breached,open,voicemails,missed_calls,answered_calls,outbound_calls,bug,tip,total_time
1,8,9,5,39,2,0,3,0,Unable to log into Playground POS,Not sure how to prioritise tickets? 1. Breached Tickets 2. New tickets 3. Nearly breached tickets 4. Open tickets,
2,8,9,5,39,2,0,3,0,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",
3,8,9,6,38,2,0,3,0,Unable to log into Playground POS,Not sure how to prioritise tickets? 1. Breached Tickets 2. New tickets 3. Nearly breached tickets 4. Open tickets,
4,8,8,5,35,2,0,3,0,Unable to log into Playground POS,"Want to level up your reporting skills? Check out the ""Reporting Cheatsheet"" in Confluence",
5,7,8,4,44,2,0,3,0,Unable to log into Playground POS,"Logging a bug but not sure on the severity? Follow the flowchart in the ""Help"" tab.",
6,8,8,5,46,2,0,3,1,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",
7,6,9,4,47,2,0,4,1,Unable to log into Playground POS,"Want to level up your reporting skills? Check out the ""Reporting Cheatsheet"" in Confluence",
8,4,9,3,44,2,0,4,2,Unable to log into Playground POS,"Use the ""Clear Cache"" macro to save time answering tickets",
9,4,9,3,43,3,0,5,3,Unable to log into Playground POS,"Use the ""Clear Cache"" macro to save time answering tickets",
10,3,9,2,43,3,0,6,3,Unable to log into Playground POS,"Want to level up your reporting skills? Check out the ""Reporting Cheatsheet"" in Confluence",
11,3,9,2,43,3,0,6,3,Unable to log into Playground POS,"Logging a bug but not sure on the severity? Follow the flowchart in the ""Help"" tab.",
12,3,9,2,43,4,0,7,3,Unable to log into Playground POS,"Logging a bug but not sure on the severity? Follow the flowchart in the ""Help"" tab.",
13,3,9,2,45,4,0,7,3,Unable to log into Playground POS,"Want to level up your reporting skills? Check out the ""Reporting Cheatsheet"" in Confluence",
14,4,9,2,45,4,0,7,4,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",
15,4,10,1,45,4,0,7,4,Unable to log into Playground POS,"Want to level up your reporting skills? Check out the ""Reporting Cheatsheet"" in Confluence",
16,5,10,1,44,4,0,7,6,Unable to log into Playground POS,"Logging a bug but not sure on the severity? Follow the flowchart in the ""Help"" tab.",
17,5,10,1,44,5,0,8,9,Unable to log into Playground POS,"Use the ""Clear Cache"" macro to save time answering tickets",
18,5,10,1,43,7,0,11,9,Unable to log into Playground POS,"Logging a bug but not sure on the severity? Follow the flowchart in the ""Help"" tab.",
19,5,11,0,41,9,0,12,9,Unable to log into Playground POS,Not sure how to prioritise tickets? 1. Breached Tickets 2. New tickets 3. Nearly breached tickets 4. Open tickets,
20,5,11,0,36,9,0,12,10,Unable to log into Playground POS,"Use the ""Clear Cache"" macro to save time answering tickets",
21,4,11,0,36,9,0,13,11,Unable to log into Playground POS,"Logging a bug but not sure on the severity? Follow the flowchart in the ""Help"" tab.",
22,4,11,0,37,9,0,13,11,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",
23,3,11,0,36,9,0,13,11,Unable to log into Playground POS,Not sure how to prioritise tickets? 1. Breached Tickets 2. New tickets 3. Nearly breached tickets 4. Open tickets,
24,3,11,0,36,9,0,13,11,Unable to log into Playground POS,Not sure how to prioritise tickets? 1. Breached Tickets 2. New tickets 3. Nearly breached tickets 4. Open tickets,
25,2,11,0,35,9,0,13,11,Unable to log into Playground POS,"Use the ""Clear Cache"" macro to save time answering tickets",
26,1,11,0,35,9,0,13,11,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",
27,1,11,0,35,9,0,13,11,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",
28,1,11,0,37,9,0,13,12,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",
29,2,11,0,37,9,0,13,12,Unable to log into Playground POS,"Want to level up your reporting skills? Check out the ""Reporting Cheatsheet"" in Confluence",
30,2,11,0,37,9,0,13,12,Unable to log into Playground POS,"Logging a bug but not sure on the severity? Follow the flowchart in the ""Help"" tab.",
31,3,11,0,37,9,0,13,12,Unable to log into Playground POS,"Want to level up your reporting skills? Check out the ""Reporting Cheatsheet"" in Confluence",
32,2,11,0,37,9,0,13,12,Unable to log into Playground POS,"Want to level up your reporting skills? Check out the ""Reporting Cheatsheet"" in Confluence",
33,2,11,0,37,9,0,13,12,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",
34,1,11,1,39,9,0,13,12,Unable to log into Playground POS,"Want to level up your reporting skills? Check out the ""Reporting Cheatsheet"" in Confluence",
35,2,11,1,40,9,0,13,12,Unable to log into Playground POS,"Use the ""Clear Cache"" macro to save time answering tickets",
36,2,11,1,40,9,0,13,12,Unable to log into Playground POS,"Want to level up your reporting skills? Check out the ""Reporting Cheatsheet"" in Confluence",
37,3,11,1,40,10,0,14,12,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",
38,3,11,1,40,11,0,15,12,Unable to log into Playground POS,Not sure how to prioritise tickets? 1. Breached Tickets 2. New tickets 3. Nearly breached tickets 4. Open tickets,
39,4,11,1,40,11,0,15,12,Unable to log into Playground POS,Not sure how to prioritise tickets? 1. Breached Tickets 2. New tickets 3. Nearly breached tickets 4. Open tickets,
40,4,11,1,41,11,0,15,12,Unable to log into Playground POS,"Use the ""Clear Cache"" macro to save time answering tickets",
41,4,11,1,41,11,0,15,12,Unable to log into Playground POS,"Logging a bug but not sure on the severity? Follow the flowchart in the ""Help"" tab.",
42,3,11,1,40,11,0,15,12,Unable to log into Playground POS,"Logging a bug but not sure on the severity? Follow the flowchart in the ""Help"" tab.",
43,3,11,1,40,11,0,15,12,Unable to log into Playground POS,"Want to level up your reporting skills? Check out the ""Reporting Cheatsheet"" in Confluence",
44,3,11,1,40,11,0,15,12,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",
45,2,11,1,41,12,0,16,12,Unable to log into Playground POS,"Logging a bug but not sure on the severity? Follow the flowchart in the ""Help"" tab.",
46,1,11,1,40,12,0,16,12,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",
47,1,11,1,40,12,1,17,12,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",
48,1,11,1,40,12,1,17,12,Unable to log into Playground POS,"Want to level up your reporting skills? Check out the ""Reporting Cheatsheet"" in Confluence",
49,2,11,1,40,12,1,17,12,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",
50,2,11,1,40,12,1,17,12,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",
